,salario,NombreEmpresa,modalidad,Plataforma,Fecha,salary.country.currency.currencyCode,PuestoTrabajo,pais,codigo_pais,sub_region
135,13727.0,Danfoss,presencial,glassdoor,2019-11-01,,data analyst,Mexico,MX,Latin America and the Caribbean
136,18678.0,TE Connectivity,presencial,glassdoor,2019-11-01,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
137,7283.0,Nemak,presencial,glassdoor,2019-11-05,,data analyst,Mexico,MX,Latin America and the Caribbean
138,7391.0,Grupo MYT,presencial,glassdoor,2019-10-23,,data analyst,Mexico,MX,Latin America and the Caribbean
139,12398.0,True Blue Manufacturing,presencial,glassdoor,2019-09-30,,data analyst,Mexico,MX,Latin America and the Caribbean
140,17189.0,Robert Bosch,presencial,glassdoor,2019-11-05,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
141,17212.0,Fender Musical Instruments,presencial,glassdoor,2019-10-21,,data analyst,Mexico,MX,Latin America and the Caribbean
142,17263.0,TE Connectivity,presencial,glassdoor,2019-10-25,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
143,20444.0,TE Connectivity,presencial,glassdoor,2019-10-17,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
144,20486.0,Lear Corporation,presencial,glassdoor,2019-10-22,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
145,20912.0,Rappi,presencial,glassdoor,2019-11-07,,data analyst,Mexico,MX,Latin America and the Caribbean
146,21292.0,Pearson,presencial,glassdoor,2019-10-21,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
147,118753.0,Bloomberg L.P.,presencial,glassdoor,2019-11-08,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
148,120744.0,Swiss Re,presencial,glassdoor,2019-11-08,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
149,120820.0,HP Inc.,presencial,glassdoor,2019-10-26,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
150,122654.0,BioCatch,presencial,glassdoor,2019-10-31,,data analyst,Mexico,MX,Latin America and the Caribbean
151,122815.0,Boehringer Ingelheim,presencial,glassdoor,2019-11-01,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
